Type,Title,Location,Bedrooms,Bathrooms,Space,Price
Apartment,APARTMENT WITH BIG GARDEN UNDER MARKET PRICE,"Aeon, 6 October Compounds, 6 October City, Giza",2 bedrooms,3 bathrooms,220 sqm,"3,700,000 EGP"
Apartment,Ground Apartment With Installmen In Eastown Sodic,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2 bedrooms,3 bathrooms,132 sqm,"3,325,205 EGP"
iVilla,sky villa for sale in mountview over 7 years,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,155 sqm,"4,710,000 EGP"
Apartment,Own 2 Bedroom Apartment in Hassan Allam New Cairo,"HAP Town, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2 bedrooms,2 bathrooms,137 sqm,"2,600,000 EGP"
Twin House,Palm Hills \ Bamboo \ Twin House \ 450 Sqm,"Palm Hills October, Cairo Alexandria Desert Road, 6 October City, Giza",4 bedrooms,5 bathrooms,450 sqm,"8,000,000 EGP"
Townhouse,Townhouses for sale in Golf Town Soma Bay,"Reef Town, Soma Bay, Safaga, Hurghada, Red Sea",2 bedrooms,3 bathrooms,155 sqm,"3,587,500 EGP"
Villa,standalone villa 250 m view land scape in Sodic,"Sodic East, 6th District, New Heliopolis, Cairo",4 bedrooms,4 bathrooms,250 sqm,"440,000 EGP"
Townhouse,Villa for sale in the North Coast Mountain View ..,"Mountain View, Qesm Ad Dabaah, North Coast",3 bedrooms,3 bathrooms,145 sqm,"4,698,465 EGP"
Chalet,Own Your Fully Finished Chalet in Ras AL Hekma,"Cali Coast, Ras Al Hekma, North Coast",2 bedrooms,1 bathroom,82 sqm,"174,960 EGP"
Apartment,Apartment for sale with a great price in r8,"Roses, New Capital Compounds, New Capital City, Cairo",2 bedrooms,2 bathrooms,130 sqm,"936,000 EGP"
Twin House,Twin house at Layan Sabbour attractive price,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,326 sqm,"6,500,000 EGP"
